trader_group,country_of_destination,cocoa_deforestation_15_years_total_exposure,cocoa_net_emissions_15_years_total
BARRY CALLEBAUT,GERMANY,0.043452749,1.859968808
OLAM,NETHERLANDS,3.279398856,189.1381329
BARRY CALLEBAUT,INDONESIA,0.99736205,182.4288449
TOUTON,BULGARIA,0.61479037,32.59434132
BARRY CALLEBAUT,CANADA,0.248296526,8.088755702
BARRY CALLEBAUT,BELGIUM,1.830287136,49.92305644
BARRY CALLEBAUT,CANADA,0.662251174,38.19509492
OLAM,UNITED ARAB EMIRATES,0.543396773,16.35131617
BARRY CALLEBAUT,INDONESIA,0.128882191,5.830792384
BARRY CALLEBAUT,GHANA,0.881320218,56.19393268
OLAM,UNITED ARAB EMIRATES,1.496620617,338.0412558
BARRY CALLEBAUT,UNITED STATES,2.618288101,107.6471547
OLAM,NETHERLANDS,1.219309997,63.58053592
BARRY CALLEBAUT,ITALY,0.381364264,11.4756067
BARRY CALLEBAUT,TAIWAN,0.043702001,1.97713346
OLAM,YEMEN,0.131147525,23.98837159
OLAM,EGYPT,0.230700341,7.582909269
OLAM,NETHERLANDS,0.177434615,4.056930798
OLAM,MALAYSIA,0.67223106,38.77068121
OLAM,CHILE,0.269463321,8.857012947
BARRY CALLEBAUT,MALAYSIA,0.195537369,8.369859635
BARRY CALLEBAUT,SENEGAL,0.285432616,12.91333043
OLAM,CHILE,0.551894238,28.77835129
BARRY CALLEBAUT,INDONESIA,0.557254317,22.62093085
BARRY CALLEBAUT,BRAZIL,1.6333468,85.17035463
OLAM,YEMEN,0.2620019,15.110864
OLAM,RUSSIAN FEDERATION,0.035987597,1.063855766
OLAM,MALAYSIA,0.571590892,29.8054271
BARRY CALLEBAUT,BELGIUM,0.026785563,1.420090214
OLAM,SAUDI ARABIA,1.0484442,95.21962979
OLAM,NETHERLANDS,0.066379027,1.517714675
BARRY CALLEBAUT,CONGO DEMOCRATIC REPUBLIC OF THE,0.086599505,2.605859941
BARRY CALLEBAUT,GERMANY,0.656556006,35.01660394
BARRY CALLEBAUT,GHANA,0.185136514,16.81408545
BARRY CALLEBAUT,GERMANY,0.079947441,4.168834163
BARRY CALLEBAUT,SENEGAL,0.839179173,25.25168468
BARRY CALLEBAUT,MALAYSIA,0.985684468,44.5936047
OLAM,AUSTRALIA,1.309591738,43.04508292
BARRY CALLEBAUT,MALAYSIA,0.156463668,7.078613089
OLAM,YEMEN,0.025768993,1.165821625
BARRY CALLEBAUT,MALAYSIA,0.284503674,8.410421893
OLAM,EGYPT,1.520595326,96.95480676
CARGILL,NETHERLANDS,0.467371995,10.6861665
BARRY CALLEBAUT,TAIWAN,0.174534692,4.760622039
BARRY CALLEBAUT,BELGIUM,0.817218601,33.17380391
OLAM,SYRIA,0.246174132,8.785880496
OLAM,SAUDI ARABIA,0.132514095,7.798996332
BARRY CALLEBAUT,GERMANY,2.046168585,293.1024279
OLAM,PORTUGAL,1.959309164,58.95744175
BARRY CALLEBAUT,GERMANY,0.281790045,17.11439514
SUCDEN,SPAIN,2.761159802,159.2488844
SUCDEN,TUNISIA,0.293659807,18.14679249
BARRY CALLEBAUT,FRANCE,0.767734609,34.73327903
BARRY CALLEBAUT,MALAYSIA,0.121428324,4.9292067
BARRY CALLEBAUT,COTE D'IVOIRE,0.045807871,2.428595911
BARRY CALLEBAUT,BELGIUM,1.355641311,78.18611815
BARRY CALLEBAUT,GHANA,0.259868931,11.7567972
CARGILL,BRAZIL,0.323558904,13.77868196
OLAM,NETHERLANDS,1.271025412,68.40701301
BARRY CALLEBAUT,GERMANY,0.73791991,39.12230024
OLAM,SYRIA,0.040308712,1.313136875
CARGILL,BRAZIL,1.201509466,64.08102388
ECOM,MEXICO,0.480716127,10.99127169
OLAM,NETHERLANDS,0.746824877,146.9740244
BARRY CALLEBAUT,GERMANY,1.188681601,48.25280569
BARRY CALLEBAUT,ITALY,1.244670227,50.52558277
BARRY CALLEBAUT,BELGIUM,0.118905059,5.379414397
BARRY CALLEBAUT,MALAYSIA,0.193549532,5.824086108
OLAM,PORTUGAL,2.246847902,410.9739963
OLAM,MALAYSIA,0.219412852,8.90674651
ECOM,CHINA (MAINLAND),0.338704261,7.744259752
CARGILL,GERMANY,0.179422365,5.304036194
BARRY CALLEBAUT,ITALY,0.187756402,8.494335707
OLAM,SOUTH AFRICA,1.055723855,55.86171597
BARRY CALLEBAUT,BELGIUM,0.184540858,36.3173662
BARRY CALLEBAUT,ITALY,0.834910578,43.5361492
BARRY CALLEBAUT,CANADA,0.676177158,77.36744294
OLAM,NETHERLANDS,0.238522815,12.64576419
BARRY CALLEBAUT,INDONESIA,1.533135282,88.42301815
BARRY CALLEBAUT,ITALY,0.164352544,4.695424931
BARRY CALLEBAUT,CONGO DEMOCRATIC REPUBLIC OF THE,0.172184964,5.1812063
ECOM,MALAYSIA,0.944568888,19.9084159
BARRY CALLEBAUT,CANADA,0.046953683,1.412880149
OLAM,EGYPT,0.455076749,27.63888731
ECOM,BELGIUM,0.405856323,9.279649394
OLAM,SOUTH AFRICA,1.242730624,37.39492456
CARGILL,CANADA,0.55491758,16.697988
BARRY CALLEBAUT,MALAYSIA,1.589017766,47.81502793
OLAM,MALAYSIA,0.687114901,31.08594205
OLAM,NETHERLANDS,0.680099676,18.55045248
CARGILL,NETHERLANDS,0.15328558,7.069602357
CARGILL,NETHERLANDS,0.370207039,15.84648994
OLAM,BELGIUM,0.017590317,0.811273605
CARGILL,GERMANY,1.740095339,55.20035392
BARRY CALLEBAUT,BELGIUM,0.997291329,32.78005407
BARRY CALLEBAUT,MALAYSIA,1.420989275,81.95503811
OLAM,MALAYSIA,2.380924562,128.1421567
BARRY CALLEBAUT,INDONESIA,0.266882726,14.14932161
OLAM,PORTUGAL,3.634248751,189.5067569
OLAM,JAPAN,1.366068335,44.90141703
OLAM,PORTUGAL,0.460028056,20.81224766
BARRY CALLEBAUT,GERMANY,0.028758914,1.52471138
OLAM,NETHERLANDS,0.575635464,17.32140847
OLAM,PORTUGAL,0.642450583,18.99195314
OLAM,UNITED STATES,0.159080772,3.637281721
BARRY CALLEBAUT,BRAZIL,0.347939632,18.14320255
OLAM,UNITED STATES,0.731438679,38.14063965
BARRY CALLEBAUT,CHILE,0.042505682,1.384707558
OLAM,SAUDI ARABIA,0.674196521,20.28720267
BARRY CALLEBAUT,BELGIUM,0.273920906,7.825708219
OLAM,CHILE,1.099297791,63.40159914
BARRY CALLEBAUT,CHILE,0.07949811,4.214751326
OLAM,RUSSIAN FEDERATION,0.195169911,10.17707354
OLAM,GREECE,0.052216208,1.491776631
ECOM,BELGIUM,1.415045519,85.94217071
TOUTON,BELGIUM,1.539807803,80.29279307
CARGILL,NETHERLANDS,0.600868187,25.71980185
BARRY CALLEBAUT,MALAYSIA,0.064124454,2.901070938
OLAM,NETHERLANDS,0.445744191,18.08986765
BARRY CALLEBAUT,TAIWAN,0.091985601,13.17643282
BARRY CALLEBAUT,CONGO DEMOCRATIC REPUBLIC OF THE,0.045872453,8.390592659
BARRY CALLEBAUT,COTE D'IVOIRE,0.464187784,24.20492583
BARRY CALLEBAUT,TAIWAN,0.233787902,9.490280839
OLAM,GREECE,0.011604725,0.265334733
BARRY CALLEBAUT,CANADA,0.053498573,1.758449182
OLAM,UNITED STATES,0.172924375,5.633357194
BARRY CALLEBAUT,INDONESIA,0.695758815,36.28012434
BARRY CALLEBAUT,GERMANY,1.268392902,24.40089159
OLAM,MALAYSIA,0.582228962,30.36014591
BARRY CALLEBAUT,GERMANY,0.534985732,17.58449182
BARRY CALLEBAUT,GERMANY,0.591410681,26.75616282
BARRY CALLEBAUT,BELGIUM,0.074405718,6.757522151
BARRY CALLEBAUT,BELGIUM,0.024257334,1.286051086
BARRY CALLEBAUT,SOUTH AFRICA,0.133593087,5.423017622
OLAM,EGYPT,1.063105552,61.31422496
BARRY CALLEBAUT,TURKEY,1.551200031,62.96871562
BARRY CALLEBAUT,FRANCE,0.755862424,34.19616646
BARRY CALLEBAUT,ITALY,0.29152809,13.18909736
OLAM,SAUDI ARABIA,0.80562051,147.3571398
OLAM,NETHERLANDS,0.435967805,12.88796421
BARRY CALLEBAUT,CANADA,0.095609772,5.514258737
BARRY CALLEBAUT,COTE D'IVOIRE,0.273800538,5.267277378
BARRY CALLEBAUT,TURKEY,0.473221338,14.23967181
OLAM,NETHERLANDS,0.27260777,8.20302228
BARRY CALLEBAUT,SOUTH AFRICA,0.083228203,7.558779672
BARRY CALLEBAUT,CANADA,0.543703108,106.9999627
BARRY CALLEBAUT,GERMANY,0.489191912,25.50875823
ECOM,BELGIUM,0.410519335,9.386266219
OLAM,NETHERLANDS,0.485190802,25.30012159
BARRY CALLEBAUT,INDONESIA,0.942875191,25.71793817
OLAM,UNITED STATES,0.398404901,33.1446747
OLAM,UNITED STATES,0.287426912,15.23851275
OLAM,NETHERLANDS,0.038795958,1.660637667
OLAM,MALAYSIA,0.465154954,24.2553586
OLAM,PORTUGAL,7.202079833,459.2124194
OLAM,COTE D'IVOIRE,1.348201627,50.09672006
BARRY CALLEBAUT,CONGO DEMOCRATIC REPUBLIC OF THE,0.290494858,15.14776289
OLAM,COTE D'IVOIRE,0.10014101,4.286475795
OLAM,NETHERLANDS,0.42540564,18.20923291
OLAM,UNITED ARAB EMIRATES,0.146315466,6.619495669
BARRY CALLEBAUT,TURKEY,0.402441783,17.22627883
OLAM,UNITED STATES,0.654258648,19.68725347
OLAM,COTE D'IVOIRE,1.444752391,92.11897902
CARGILL,NETHERLANDS,0.40205004,24.84479822
OLAM,SAUDI ARABIA,1.226506645,42.23727832
OLAM,UNITED STATES,2.002189362,82.31713991
CEMOI,INDONESIA,0.595093777,31.03097766
OLAM,PORTUGAL,2.234654779,135.7207807
OLAM,MALAYSIA,0.496682165,25.89933513
BARRY CALLEBAUT,GERMANY,0.38444517,20.50390845
BARRY CALLEBAUT,MALAYSIA,1.280352271,73.84385019
OLAM,SYRIA,0.774631357,49.39133526
BARRY CALLEBAUT,BELGIUM,0.139461527,6.309414852
BARRY CALLEBAUT,BELGIUM,0.941219067,49.07957193
OLAM,MALAYSIA,0.222872096,9.044933823
BARRY CALLEBAUT,INDONESIA,0.365593561,11.00105154
ETC GROUP,UNITED KINGDOM,0.385450605,15.64294179
BARRY CALLEBAUT,FRANCE,0.833114315,75.66338451
OLAM,NETHERLANDS,1.206018328,291.8678345
BARRY CALLEBAUT,CANADA,0.360533663,15.43242691
BARRY CALLEBAUT,INDONESIA,0.271437191,5.221812156
BARRY CALLEBAUT,MALAYSIA,1.528724725,79.71486946
BARRY CALLEBAUT,GERMANY,0.062930765,2.902396213
OLAM,EGYPT,0.753333072,23.89768608
OLAM,MALAYSIA,0.331805351,20.1520529
BARRY CALLEBAUT,BELGIUM,1.128387473,35.79538804
OLAM,SOUTH AFRICA,0.252309375,10.79995126
BARRY CALLEBAUT,GERMANY,0.09956524,3.428733763
BARRY CALLEBAUT,CONGO DEMOCRATIC REPUBLIC OF THE,0.026288261,0.856392639
ETC GROUP,CANADA,1.515938847,92.06988288
BARRY CALLEBAUT,CONGO DEMOCRATIC REPUBLIC OF THE,0.478339305,29.0517285
BARRY CALLEBAUT,CANADA,1.048819208,150.2375995
OLAM,CHILE,0.120347539,5.124972436
BARRY CALLEBAUT,CANADA,0.167116974,10.14977633
BARRY CALLEBAUT,TURKEY,1.330290492,40.02968274
OLAM,NETHERLANDS,1.498302595,57.02683936
OLAM,YEMEN,0.264609913,15.26128022
